id,user_id,created_at,authorDisplayName,author,authorAvatar,author_id,review_title,review_rating,review_content,business_name,business_slug,permalink,replied,messages,business_logo,industry_logo,industry_name,industry_slug,status_id,nps_rating,source,is_reported,business_reporting,author_created_date,author_total_reviews_count,attachments
4228893,0cf37140-f94c-11ec-9b49-19cd672a8c8b,2022-12-16 20:51:27,Werner S,Werner S,,0cf37140-f94c-11ec-9b49-19cd672a8c8b,Not telkpm,1,"I pay R519 per month and can't signin  on the modem.  This happens when we have electricity which is about every 3 hours none after 21h00
I would plead with potential customers not to consider telkom",Telkom,telkom,not-telkpm-4228893,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-07-01,3,[]
4228846,364faaf0-5104-11ec-8045-7d7a9af8c558,2022-12-16 18:54:28,Nokuthula K,Nokuthula K,,364faaf0-5104-11ec-8045-7d7a9af8c558,Please help me clear my name,1,I can't even buy a house because telkom failed me I tried to open cases they keep saying my documents did not go through the person was helping me did not do the right thing I never took telkom contract cell phones but they claim that I did n when I say they must show me a signature of that person they said the person purchased on line please help me to clear my name  am on errors for the thing I did not do,Telkom,telkom,please-help-me-clear-my-name-4228846,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2021-11-29,3,[]
4228766,0c8502a0-5ee0-11ea-9899-6f17cff30ea1,2022-12-16 16:28:46,Services A,Services A,,0c8502a0-5ee0-11ea-9899-6f17cff30ea1,Untrustworthy business,1,I was contacted if I wanted to upgrade a data contract that is on month to month which I did. In fact what they did was to add a second contract with the month to month still running. I requested the recording when I did the upgrade more than a week ago…and still they have not made it available. This business is the worst you can get. They are like vultures to get your business. Will never deal with them again.,Telkom,telkom,untrustworthy-business-d202a9728ef1b82c9cdcd425750c5b5b71eb91b7-4228766,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2020-03-05,50,[]
4228626,35bf64d7-31fa-11e8-83f4-f23c91bb6188,2022-12-16 12:58:01,Nina H,Nina H,,35bf64d7-31fa-11e8-83f4-f23c91bb6188,telkom,1,"Have been in a fight with TELKOM since August for a FRAUDULENT DEBIT ORDER that they have been taking off my account monthly. No matter how many mails, calls etc I make they carry on. I have a business manager by the name of EARL STRYDOM  tel number ********** who admits that it is fraud but promises to fix it, but doesn't. TELKOM owe us literally thousands for this FRAUD. STRYDOM is supposedly my business manager. Its because of people of this calibre that Telkom is in the mess its in. All I get are lies, promises and more lies! I cant afford legal action so what now????????????????
Is there ANYONE out there who can assist me?",Telkom,telkom,telkom-f3a685a5414d7c00bbc751a0f993f6890e0eb3f7-4228626,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2017-05-06,1,[]
4228610,2b490ce9-31fa-11e8-83f4-f23c91bb6188,2022-12-16 12:42:24,Arshad P,Arshad P,,2b490ce9-31fa-11e8-83f4-f23c91bb6188,TELKOM Killarney Looting on Upgrade,1,"-10, 
So I have Telkom contract with Telkom for the last 4 Years, it was due for my second upgrade, Telkom kept on phoning for upgrade, so I finally decided to do it at the KILLARNEY Store, but unknowingly to know it is it the worst in terms of service.

I do the upgrade, only to notice a new line has been issued to me. Upgrade was for two contract, now sit with 4 numbers.

I tried to contact the store to sort out the issue, but to no luck, I had to drive down to the store to get the issue sorted for the number. upon request he sorted the issue after two days. But 2 days later Telkom sends me 2 invoices, amounting to R 1 787.00, Charging me for sim connection on an upgrade, there after billing for the other 2 numbers that were not even meant to be there.

I now contact the store again, to no Luck on the call. I had to drive down again to the store, but to find the person that helped was on leave. colleague said he will get the person to contact me the next day. 5 days later I still wait for the call. upon being frustrated with the issue, I call up the person the person that had told me, the colleague will call, then he hands over the phone to the consultant. 

Firstly he is rude, and not willing to accept the mistake he has made. He then goes on to tell me he does the upgrades differently from other stores, that means he overcharges all his upgrades. thereafter disputing the issues, he hangs up on me.

and now I sit with the bill that I'm not liable for. and at month end will be charged extra for upgrading with Telkom.

I need a solution @telkom",Telkom,telkom,telkom-killarney-looting-on-upgrade-4228610,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2016-07-01,5,[]
4228533,017368a3-31fa-11e8-83f4-f23c91bb6188,2022-12-16 11:27:08,Elaine,Elaine,,017368a3-31fa-11e8-83f4-f23c91bb6188,TELKOM AND NUDEBT ARE ROGUES AND FRAUDSTERS!!!,1,"TELKOM ARE ROGUES. 
THEY STEAL OUR MONEY EVERY MONTH!!!
NOT MATTER HOW MUCH WE COMPLAIN NOTHING IS DONE ABOUT THEM.
NUDEBT IS A COMPANY CREATED BY AN ATTORNEY WHO ALSO STEALS!!!",Telkom,telkom,telkom-and-nudebt-are-rogues-and-fraudsters-4228533,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2010-09-19,20,[]
4228398,3c07bdd1-31fa-11e8-83f4-f23c91bb6188,2022-12-16 08:48:06,Robyn S,Robyn S,,3c07bdd1-31fa-11e8-83f4-f23c91bb6188,Despicable Service,1,"If I could give this company a 1 I would. The level of customer service and support is shocking. I’ve made my 5th call this month to this service provider with no resolution. My account gets debited twice, the first time with R800 extra and today the second time this month with R1100 extra. 
Called the supposed helpline (that’s helpless) and spoke to Lindane Dlamini and was told that he does not know where the payments come from and that I owe R5000 again!!!!!!!! How is this even possible if it was paid 31st October (doesn’t reflect on their end) 30th November and again today, WHAT IN THE ACTUAL HELL!!!!
No compassion, no care, no help at all",Telkom,telkom,despicable-service-cc45508248197ebddbf2ababd956ed73116a4cd0-4228398,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2018-01-11,9,[]
4228390,e4aba980-7d0b-11ed-9785-07da03db6e8a,2022-12-16 08:39:44,Oscar K,Oscar K,,e4aba980-7d0b-11ed-9785-07da03db6e8a,CUSTOMER SERVICE IS DEAD,1,"It's been 3 days trying to get hold of Telkom through their 180, Twitter messages and also their feed with absolutely no success, all I'm met with is usually bots that basically does the same things I can do via USSD on my phone. I don't know who came up with this model and what happened to the customer service consultants but they have destroyed it for customers.",Telkom,telkom,customer-service-is-dead-b65b990e236e47e7c2d449edd558c1b19cdb5f61-4228390,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-12-16,1,[]
4228366,bc476fe0-6d44-11ed-8b42-9198f5d1be74,2022-12-16 08:08:13,Chithekile M,Chithekile M,,bc476fe0-6d44-11ed-8b42-9198f5d1be74,Disgusted service by telkom,1,"I am beyond disgusted with Telkom, they still deducting money in my account, they failing to relsove my issue, I have spoken to countless agent that have not assisted me,",Telkom,telkom,disgusted-service-by-telkom-4228366,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-11-26,2,[]
4228219,07d3664d-31fa-11e8-83f4-f23c91bb6188,2022-12-15 22:19:45,Sue,Sue,,07d3664d-31fa-11e8-83f4-f23c91bb6188,ADSL down and telko. Cant tell me how long its going to be down,1,"My adsl line not working for 2 days 10210 cant give me update Ref **********6

No ADSL, NO WORK, NO PAY",Telkom,telkom,adsl-down-and-telko-cant-tell-me-how-long-its-going-to-be-down-4228219,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2011-12-13,11,[]
