comment,sentiment,review_rating,author_total_reviews_count
"Not telkpm I pay R519 per month and can't signin  on the modem.  This happens when we have electricity which is about every 3 hours none after 21h00
I would plead with potential customers not to consider telkom",0,1,3
Please help me clear my name I can't even buy a house because telkom failed me I tried to open cases they keep saying my documents did not go through the person was helping me did not do the right thing I never took telkom contract cell phones but they claim that I did n when I say they must show me a signature of that person they said the person purchased on line please help me to clear my name  am on errors for the thing I did not do,0,1,3
Untrustworthy business I was contacted if I wanted to upgrade a data contract that is on month to month which I did. In fact what they did was to add a second contract with the month to month still running. I requested the recording when I did the upgrade more than a week ago…and still they have not made it available. This business is the worst you can get. They are like vultures to get your business. Will never deal with them again.,0,1,50
"telkom Have been in a fight with TELKOM since August for a FRAUDULENT DEBIT ORDER that they have been taking off my account monthly. No matter how many mails, calls etc I make they carry on. I have a business manager by the name of EARL STRYDOM  tel number ********** who admits that it is fraud but promises to fix it, but doesn't. TELKOM owe us literally thousands for this FRAUD. STRYDOM is supposedly my business manager. Its because of people of this calibre that Telkom is in the mess its in. All I get are lies, promises and more lies! I cant afford legal action so what now????????????????
Is there ANYONE out there who can assist me?",0,1,1
"TELKOM Killarney Looting on Upgrade -10, 
So I have Telkom contract with Telkom for the last 4 Years, it was due for my second upgrade, Telkom kept on phoning for upgrade, so I finally decided to do it at the KILLARNEY Store, but unknowingly to know it is it the worst in terms of service.

I do the upgrade, only to notice a new line has been issued to me. Upgrade was for two contract, now sit with 4 numbers.

I tried to contact the store to sort out the issue, but to no luck, I had to drive down to the store to get the issue sorted for the number. upon request he sorted the issue after two days. But 2 days later Telkom sends me 2 invoices, amounting to R 1 787.00, Charging me for sim connection on an upgrade, there after billing for the other 2 numbers that were not even meant to be there.

I now contact the store again, to no Luck on the call. I had to drive down again to the store, but to find the person that helped was on leave. colleague said he will get the person to contact me the next day. 5 days later I still wait for the call. upon being frustrated with the issue, I call up the person the person that had told me, the colleague will call, then he hands over the phone to the consultant. 

Firstly he is rude, and not willing to accept the mistake he has made. He then goes on to tell me he does the upgrades differently from other stores, that means he overcharges all his upgrades. thereafter disputing the issues, he hangs up on me.

and now I sit with the bill that I'm not liable for. and at month end will be charged extra for upgrading with Telkom.

I need a solution @telkom",0,1,5
"TELKOM AND NUDEBT ARE ROGUES AND FRAUDSTERS!!! TELKOM ARE ROGUES. 
THEY STEAL OUR MONEY EVERY MONTH!!!
NOT MATTER HOW MUCH WE COMPLAIN NOTHING IS DONE ABOUT THEM.
NUDEBT IS A COMPANY CREATED BY AN ATTORNEY WHO ALSO STEALS!!!",0,1,20
"Despicable Service If I could give this company a 1 I would. The level of customer service and support is shocking. I’ve made my 5th call this month to this service provider with no resolution. My account gets debited twice, the first time with R800 extra and today the second time this month with R1100 extra. 
Called the supposed helpline (that’s helpless) and spoke to Lindane Dlamini and was told that he does not know where the payments come from and that I owe R5000 again!!!!!!!! How is this even possible if it was paid 31st October (doesn’t reflect on their end) 30th November and again today, WHAT IN THE ACTUAL HELL!!!!
No compassion, no care, no help at all",0,1,9
"CUSTOMER SERVICE IS DEAD It's been 3 days trying to get hold of Telkom through their 180, Twitter messages and also their feed with absolutely no success, all I'm met with is usually bots that basically does the same things I can do via USSD on my phone. I don't know who came up with this model and what happened to the customer service consultants but they have destroyed it for customers.",0,1,1
"Disgusted service by telkom I am beyond disgusted with Telkom, they still deducting money in my account, they failing to relsove my issue, I have spoken to countless agent that have not assisted me,",0,1,2
"ADSL down and telko. Cant tell me how long its going to be down My adsl line not working for 2 days 10210 cant give me update Ref **********6

No ADSL, NO WORK, NO PAY",0,1,11
"Theft and cyber fraud. Innacinnect.via Tekkom i traced it  ..they get tour details  ""debit""your account. You cant reverse it as it is olaces as a subscription for fone and data...none of which you get.i did not aolmy nor subscribe..you end up at an international unknown language country .working with Telkom  si far they took r600..pensioner. TELKOM lawyers  im ff WAITING  case being opened. FRAUD",0,1,2
"Useless agent Telkom   your agents a really useless. Unfortunately I didn't get her name. On the 11th of Nov I logged a cancellation on an contract that expired in October but it's still working (don't know how) since I didn't get any confirmation regarding my cancellation I then decided to log it again on the portal, on the 24th of Nov. When I check this morning it has not been cancelled and new data was loaded. Called again and your agents told me that there was no cancellation logged on the 11th, only the Cancellation logged on the portal is reflecting. Reason for my cancellation is because I have already went with another ISP and I was avoiding being billed by two different ISPs",0,2,1
"Sim Card disconnected hour after complaint I have no other way of contacting Telkom and I am ****ed off. 

An hour after receiving my upgrade and calling because it's incorrect, my number is disconnected. I am completely disconnected!!!!!

Connect my sim card immediately!!!!!!!!!!",0,2,14
