,comment
Good Good,62
Excellent Excellent,45
Excellent service Excellent service,43
Good service Good service,22
Great Great,20
Very good Very good,20
Great service Great service,16
It was good It was good,14
Yes Yes,8
Very helpful Very helpful,7
Amanda Good service,7
Beaucanon Beaucanon,7
Good experience Good experience,7
So far so good So far so good,7
Quick and efficient Quick and efficient,7
I would like to writ... I would like to write a review about MiWay Insurance,6
Quick response Quick response,6
Helpful Helpful,6
Amazing Amazing,5
Happy Happy,5
. .,5
Great experience Great experience,5
Professional Professional,5
It was excellent It was excellent,4
Very efficient Very efficient,4
Quick and easy Quick and easy,4
It was great It was great,4
amelia good service,4
Delete account Please delete my account,4
amelia good,4
Jason Naidoo Good service,4
Asathi Good service,4
1-grid Tash communicated very well and was helpful,4
Very good service Very good service,4
Excellent customer s... Excellent customer service,4
Satisfactory Satisfactory,3
Rubyn Excellent service,3
Best service Best service,3
Thank you Tyrone Awesome service from Tyrone,3
Satisfied Satisfied,3
I would like to writ... I would like to write a review about Platinum Life,3
Service Good service,3
Excellent Service Excellent Service,3
Great service. Excellent installation and very good work ethics. I did a conversion on an existing geyser and an installation of a new solar  geyser with them. Everything went according to plan and the system works perfectly.,3
Chantel Chantel,3
"The resource you are... The resource you are looking for has been removed, had its name changed, or is temporarily unavailable.",3
1-grid Thanks Tash,3
excellent excellent,3
Please delete my account Please delete my account,3
Good so far Good so far,3
Selene Good service,3
Jerusha Excellent service,3
Ok Ok,3
Good customer servic... Good customer service,3
Prince Ndlovu Good customer service,3
Incompetence & poor customer service  <p>i have been battling with Trudon for months. They keep billing me through Telkom for yellow pages which I never subscribed for. I tell them that the number belongs to an individual and I don't even know the company that they claim registered for YP. Each time the agent tells me that they have cancelled the subscription and il get a refund. But no refund comes and the amount being billed is increasing now!! This is just incompetence </p>,3
Great! Great!,2
"NO SERVICE <p>The municipality has ignored the calls for roadworks and pothole problem resolution in Clermont, Ward 22 ever since December.</p>
<p> </p>",2
Great service ,2
good good,2
Pleasant Pleasant,2
Service was excellen... Service was excellent,2
Jerusha excellent service,2
Thanks Tyrone Awesome service from Tyrone,2
Nico Good service,2
"Absolutely ridiculous! <p>I'm disgusted with the service! Firstly when I applied for my vehicle license, I was notified that the process will take 14 days. That's fine. On the 20th of May 2017 they told me that they couldn't renew it and I'd get my refund. Monday was my first enquiry as to when I'd get my refund and for two days my refund was promised to me. On Wednesday the 24th of May I was told that the turnover time is 5-6 days. Today I still haven't received a cent. I will be letting my company and friends know about this horrific experience. Will never use this service again!</p>",2
Happy service Happy service,2
Hellopeter Excellent,2
"Disgusting Service Worst cleaning service app ever. The worker herself, not even the company informs me few minutes before I expect a cleaner she will not make it. The company does not even have the decency to call the customer and let me know. I called them several times to find out what there issue was , they said the worker didn't inform them she won't make it. Secondly they took forever to find a replacement. Very very unreliable. I put my washing on and got ready for the cleaner not to pitch.",2
"Pathetic Telkom  <p>Since November2016 I have been batling with Telkom and their incapable workers! Every month their is extra charges on my account for services which I did not used. It keeps on ""escalating"" so much that my account is at their ""escalations"" department. Got home last night and guess what. Yes my line have been suspended not because I don't pay or don't want to pay but because their incapable workers don't do their work!</p>",2
Awesome Awesome,2
Great Service Great service,2
"Always on time <p>Always on time... TNT must learn from DHL</p>
<p><br />Waybill: **********</p>
<p> </p>
<p>Friday, May 06, 2016<br />Forwarded for delivery<br />Clearance processing complete at JOHANNESBURG - SOUTH AFRICA<br />Arrived at Sort Facility JOHANNESBURG - SOUTH AFRICA</p>
<p> </p>
<p>Thursday, May 05, 2016<br />Departed Facility in HONG KONG - HONG KONG<br />Processed at HONG KONG - HONG KONG<br />Arrived at Sort Facility HONG KONG - HONG KONG<br />Shipment picked up</p>",2
"Efficient customer service <p>I would just like to compliment the ladies at Affinity for their efficient service. Everyone when I have a query that always are available to assist and they respond to emails within 24 hours or give you a call. Since joining Affinity I've never had any query that hasn't been resolved. These ladies names are Sisi, Idah and Latefa who has assisted me recently. </p>
<p>Keep up the good customer service that you provide and I hope the company recognizes what an asset you all are.</p>",2
Good and friendly Good and friendly,2
Faseeg I’m happy with the service,2
DHL Express - Fantastic Service!!! <p>DHL Express has wildly exceeded my expectations! My parcels were dispatched from overseas on Tuesday and was delivered today (Thursday) - 2 days! That's FANTASTIC service. Special thanks to Siena Laubscher at the customs department of DHL. Your service was excellent. Thank you once again!</p>,2
"Great Service <p>Thank you Kabelo Maluke  for your excellent service you provide the highest quality support to customers, pay attention to detail, you very well organised, flexible personality, you listened to the caller, digested the information and conveyed a solution quickly and effectively.</p>",2
Thanks Tash Once again Tash coming through in sorting out our email issue in no time at all.,2
"I really recommend IG products  I have been using IG for some time now. 2021 is my third year. I have this type of skin that easily dehydrates during winter no matter how long I try to stay indoors. My very first order didn't have any hydrating products and I was becoming worried, until the agent phoned to ask how the products are keeping my skin. I jumped to the opportunity to ask if there is something oily. Within few weeks I received a sample of Vitamin C and Hyaluronic. Yoh!! You can imagine how happy I was. My skin started to glow and I regained my confidence. 
I have now added Instaglam Primer and Instabalance Facial Elixir. You can feel the absorption while applying them to the skin. I love the fact that they are not greasy. The way they hydrate my skin makes me so satisfied. I will be turning 50 in September, but I hear a lot of my Facebook friends saying I look 30. We all enjoy aging, but no woman would want her age to show ?. IG gives a true meaning to the saying ""Aging Gracefully.""
I'm an IG addict
I'm beautiful 
I'm confident 
I'm forever young
#healthylookingskinvibes

Yesss girl???",2
Excellent service fr... Excellent service from Priyen and Renier,2
