id,user_id,created_at,authorDisplayName,author,authorAvatar,author_id,review_title,review_rating,review_content,business_name,business_slug,permalink,replied,messages,business_logo,industry_logo,industry_name,industry_slug,status_id,nps_rating,source,is_reported,business_reporting,author_created_date,author_total_reviews_count,attachments
4220709,189b4210-31fa-11e8-83f4-f23c91bb6188,2022-12-11 10:44:36,michael,michael,,189b4210-31fa-11e8-83f4-f23c91bb6188,Telkom eish,1,"We upgraded our Telkom LTE to uncapped a few months ago and since then it has been terrible, the line drops or freezers while we busy on zoom meetings . No use in complaining to them, it falls on deaf ears. We've been with Telkom for a few years. We busy looking at a new service provider as we have had enough.",Telkom,telkom,telkom-eish-f705fbc6e907e32d9578cf477ab6a7ba0f1f152c-4220709,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2014-02-03,2,[]
4220657,2ab58790-5e1c-11ea-84a8-633da5152604,2022-12-11 08:21:07,Tintswalo M,Tintswalo M,,2ab58790-5e1c-11ea-84a8-633da5152604,Bad service,1,"I use Adsl and I haven't had connectivity from the evening of the 6th of December 2022. If it's not a consultant not logging this fault for me and telling me to reset my router, it's another one not reporting the fault as they should have. Today is the 11th and I still don't have connectivity. Apparently a technician has been assigned but no one has contacted me as yet. This is really unacceptable. Will I be compensated for not having connectivity for almost five days or will it be business as usual?",Telkom,telkom,bad-service-c283bfe9603574bed2092a8297b6ca95921e8204-4220657,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2020-03-04,9,[]
4220589,30c06500-2db3-11ed-9a2e-37d9f06d41d3,2022-12-10 23:51:47,Lulama R,Lulama R,,30c06500-2db3-11ed-9a2e-37d9f06d41d3,Telkom (9570 Rand To Terminate A ConTract),1,They are Telling Me To Pay R9570 To Cancel A Contract My Phone Is stolen They Didn’t Even Help they Asking Me About Insurance But When I Buy It They Said 2 Years Warranty And I’m Not Going To Pay,Telkom,telkom,telkom-9570-rand-to-terminate-a-contract-4220589,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-09-06,4,[]
4220221,fbc1cc90-f7d5-11e8-981e-d16280a3bb5a,2022-12-10 11:41:54,Moosa M,Moosa M,,fbc1cc90-f7d5-11e8-981e-d16280a3bb5a,Telkom sucks,1,"Trying to resolve a billing  issue with telkom for the past three years. Have 2 accounts.  Both personal.  Both have landlines but one has fibre with it. The fibre is connected to the correct line at my residence, however it is billed on the other account. This creates additional charges as a result due to the non recognition of the home unlimited package on the line.  I called the call center gazillion times, same story.  Sales says all in order on their side and its a billing issue, speak to billing, they say it's a sales issue. 
Spoken to managers on both sides, not resolved.
Went in Twitter, told its resolved, but it is not. I want to to transfer the one line n get a new service but I can't due to billing issue not being resolved",Telkom,telkom,telkom-sucks-411d904fde5c150bf57ed7a31f0c728f3fea1cf3-4220221,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2018-12-04,2,[]
4220027,f1989af0-247d-11ed-9b4a-437238555a96,2022-12-10 07:25:59,Johanna B,Johanna B,,f1989af0-247d-11ed-9b4a-437238555a96,BEST TELKOM EMPLOYEE,5,"I am writing this as one very happy (now ex-) customer of Telkom.

in 2020 we moved from South Africa to the UAE, until recently I still had one contract with Telkom, and canceling this contract at the end of service proved to be an extremely difficult task, as no one I mailed or called replied or said that they weren’t able to assist with my cancelation.

I received a contact number of Piet Sherende at the Key West branch in Krugersdorp from my sister (they had a big issue with their home service a few months back and he was the only one able to assist them in a timely, friendly manner).

I proceeded to make contact with him and he immediately was able to tell me what documents he needed from me, he sent me the forms, and kept me posted on all progress.
Now, my line is finally canceled and I can only thank Piet for this.

He really went above and beyond with his service for me (and my sister), and he really was one of the most knowledgeable, friendly, and considerate employees of Telkom (or any large company for the matter!) I have ever had the pleasure of dealing with.

Would definitely recommend him and his team at Key West to all.",Telkom,telkom,best-telkom-employee-4220027,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-08-25,2,[]
4219938,eccd0b30-aacf-11ec-8f64-3beb71a70d0d,2022-12-09 23:09:45,Tash R,Tash R,,eccd0b30-aacf-11ec-8f64-3beb71a70d0d,Pathetic service,1,Poor and pathetic service agent rushed me to make a sale once sale was made i had to beg her for information on the device she reads and doesnt respond and doesnt take my calls i applied for a dsl wifi on the 1st its now the 9th never recieve anything after 7days me asking her she then asks why im not tracking without giving me the tracking number upon asking she then gives it and disspears the tracking keeps saying device loaded into vehicle then it says contact not available then it says device handed over to the branch damn poor and pathetic service im so angry as its 9days without anything but very quick to debit on the date now i dont know what to do as courier doesnt even answer and the email system is offline,Telkom,telkom,pathetic-service-26329734caabe2325e07f986c8b530d1dd46dcd5-4219938,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-03-23,2,[]
4219914,c7e0c8d0-77f5-11ed-a0d0-85b0c6cec569,2022-12-09 21:42:55,Ayabulela N,Ayabulela N,,c7e0c8d0-77f5-11ed-a0d0-85b0c6cec569,Fraudulent Telkom Account,1,"I currently have an existing account with Telkom since 2021. On the 30th of October 2022 I had debit order that went off for the amount of R840 which I was not aware of. I went to Telkom Claremont to enquire what this amount was for,I was told that it was for 3 routers that is under my account, however, I am not aware of this. When they checked the system, a Telkom agent who was in training in Milnerton opened this account and the details on this account were not mine it had a different contact number and email address, the details was of the agent. On this account it was only showing my ID number. A Fraud Case was opened. Every month end I have a debit order of R840 for a product that I don't know of and was opened fraudulently on my existing account. I have to dispute this with my bank and I have to go to Telkom every week to follow up on my case. I went to another Telkom branch and a consultant told me there is about 10 cases of the same nature that was opened by this agent in Milnerton. Clearly Telkom is failing me as their customer and my details are not secured. Telkom I WANT my case to be resolved ASAP before I go to Ombudsman.",Telkom,telkom,fraudulent-telkom-account-a12c8f2c753c2b7926b9b476047edced586bf50a-4219914,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-12-09,1,[]
4219698,e2c74130-77d2-11ed-a58c-5d82adf880da,2022-12-09 17:14:32,Neo B,Neo B,,e2c74130-77d2-11ed-a58c-5d82adf880da,Huawei Sandton is bad on service,1,Huawei horrible service at sandton....first we take a contract with them on the Y70 p and they put me on freeme plan from telkom now they take morethan the amount we agreed on and when i ask they say i should go ask telkom why.....why did i take the contract with huawei then .,Telkom,telkom,huawei-sandton-is-bad-on-service-4219698,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2022-12-09,1,[]
4219509,2a17c802-31fa-11e8-83f4-f23c91bb6188,2022-12-09 15:20:32,Keshlin P,Keshlin P,,2a17c802-31fa-11e8-83f4-f23c91bb6188,DEBIT ORDER ISSUES,1,DEBIT ORDER ISSUES - I have changed banking details in February 2022. I have communicated this to Telkom Mobile however this was not effected.  I have been charged R202 per month for each month as unsuccessful collection even though payments are done via eft.  I have requested refund of the additional fees paid and for bank changes to be effected.  Its concerning that no one can assist in resolving my issue and no one is able to assist me further on this issue.,Telkom,telkom,debit-order-issues-219da61e02137d03863c1cbbefe39828fe6694e8-4219509,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2016-05-25,6,[]
4219499,30a6d200-ee05-11ea-8fc0-a3ad4a05e7fd,2022-12-09 15:16:20,Rehana A,Rehana A,,30a6d200-ee05-11ea-8fc0-a3ad4a05e7fd,Telkom is a waste,1,"I've been trying to port my number for two weeks, I've missed so many work calls and lost so much of potential sales due to not having my number ported when it's supposed to have been done two weeks ago. It's pathetic . I don't understand how they are still in business and how they hire such incompetent staff.",Telkom,telkom,telkom-is-a-waste-c37229ab73f9dca7e7728b1c1ba1380d5a8de6d5-4219499,0,[],https://s3-us-west-2.amazonaws.com/hp-cdn-01/uploads/orgs/org_793962_logo_hPUx0SvDxJ768HorIPr8.png,/static/img/industries/icons/telecommunications-icon.jpg,Telecommunications,telecommunications,1,,WEBSITE,False,,2020-09-03,4,[]
